term_str,stem,n,rank,p,i,stop,max_pos,n_pos,cat_pos
cometh,cometh,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'VBZ', 'NN'}"
prostrated,prostrat,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,2,"{'VBD', 'VBN'}"
sapplings,sappl,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
dimmed,dim,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,1,{'VBN'}
uppermost,uppermost,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'VBN'}"
briers,brier,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
glorifying,glorifi,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,2,"{'JJ', 'VBG'}"
seasickness,seasick,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
unhappiness,unhappi,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'NN'}"
thirtynine,thirtynin,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'NN'}"
wendell,wendel,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
repute,reput,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
nextdoor,nextdoor,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
deter,deter,4,11711,2.692928101512618e-06,18.502392857485294,0,VB,1,{'VB'}
whispers,whisper,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
lydia,lydia,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
allday,allday,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
souvenir,souvenir,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
northerners,northern,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,2,"{'NNS', 'NNP'}"
costumes,costum,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
humorous,humor,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
smashed,smash,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,1,{'VBN'}
donald,donald,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
rostrum,rostrum,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
atonement,aton,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
blockaded,blockad,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,2,"{'VBD', 'VBN'}"
selfsustaining,selfsustain,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
uncultivated,uncultiv,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
handshake,handshak,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
outcome,outcom,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
figtree,figtre,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'NN'}"
français,françai,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
oxford,oxford,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
fiftyeight,fiftyeight,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
anarchy,anarchi,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
ails,ail,4,11711,2.692928101512618e-06,18.502392857485294,0,IN,2,"{'IN', 'VBZ'}"
druggists,druggist,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
outnumbered,outnumb,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,1,{'VBD'}
gas,gas,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
spontaneous,spontan,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
doze,doze,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
permits,permit,4,11711,2.692928101512618e-06,18.502392857485294,0,VBZ,2,"{'VBZ', 'NNS'}"
threequarters,threequart,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
plodding,plod,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'VBG'}"
doxology,doxolog,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,2,"{'NN', 'NNP'}"
traveler,travel,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
howled,howl,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,1,{'VBN'}
nottingham,nottingham,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
hinge,hing,4,11711,2.692928101512618e-06,18.502392857485294,0,VB,2,"{'NN', 'VB'}"
amiens,amien,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
emancipator,emancip,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
peering,peer,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
unison,unison,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'JJ', 'NN'}"
physique,physiqu,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
emory,emori,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
archie,archi,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
knell,knell,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
grocers,grocer,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
thrilled,thrill,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,2,"{'VBD', 'VBN'}"
conformity,conform,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
annihilated,annihil,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,1,{'VBN'}
welling,well,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
unlookedfor,unlookedfor,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
tip,tip,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'VB', 'NN'}"
unwin,unwin,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
chevrons,chevron,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,2,"{'JJ', 'NNS'}"
inevitably,inevit,4,11711,2.692928101512618e-06,18.502392857485294,0,RB,1,{'RB'}
distorted,distort,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,3,"{'JJ', 'VBD', 'VBN'}"
anthony,anthoni,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
mohammedans,mohammedan,4,11711,2.692928101512618e-06,18.502392857485294,0,NNPS,1,{'NNPS'}
rounds,round,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
invoked,invok,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,3,"{'JJ', 'VBD', 'VBN'}"
pearls,pearl,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NNS', 'NN'}"
quieted,quiet,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,2,"{'VBD', 'VBN'}"
operative,oper,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'JJ', 'NN', 'NNP'}"
outpouring,outpour,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
yells,yell,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,2,"{'NNS', 'NN'}"
grossness,gross,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
wearisome,wearisom,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'VBN'}"
hopefulness,hope,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
peto,peto,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
rowing,row,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,2,"{'NN', 'VBG'}"
boulevard,boulevard,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
dearie,deari,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,2,"{'VB', 'NNP'}"
sixteenth,sixteenth,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,2,"{'NN', 'NNP'}"
measurement,measur,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
discontinuance,discontinu,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
strewed,strew,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,2,"{'VBD', 'VBN'}"
decked,deck,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,2,"{'VBD', 'VBN'}"
inherent,inher,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
founding,found,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
herod,herod,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
grandma,grandma,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
queried,queri,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,1,{'VBD'}
ezekias,ezekia,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
screen,screen,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
spooner,spooner,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
wellbuilt,wellbuilt,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
hinche,hinch,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
rangoon,rangoon,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
norris,norri,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
fla,fla,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
fanatic,fanat,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'NNP'}"
textbooks,textbook,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'JJ', 'NNS', 'NN'}"
unlocked,unlock,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,1,{'VBD'}
raphaël,raphaël,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
settings,set,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,2,"{'VBZ', 'NNS'}"
cheery,cheeri,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'JJ', 'NN'}"
admonishing,admonish,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
unreliable,unreli,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
syrup,syrup,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
waugh,waugh,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
judson,judson,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
verbal,verbal,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
loveth,loveth,4,11711,2.692928101512618e-06,18.502392857485294,0,VBZ,2,"{'VBZ', 'NN'}"
picker,picker,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
armory,armori,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,2,"{'NN', 'NNP'}"
oversight,oversight,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
oscar,oscar,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
boiler,boiler,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
glasses,glass,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
tailor,tailor,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
dozens,dozen,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
verettes,verett,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,2,"{'NNS', 'NNP'}"
picket,picket,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
anyting,anyt,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
mire,mire,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
marm,marm,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
chambermaid,chambermaid,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
bethlehem,bethlehem,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
croix,croix,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
speller,speller,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
rents,rent,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
jericho,jericho,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
tinsel,tinsel,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
theologian,theologian,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'NN'}"
toe,toe,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'VB', 'NN'}"
standards,standard,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
appliances,applianc,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
verifying,verifi,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
wrung,wrung,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'VB', 'VBZ', 'NN'}"
printer,printer,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
shelves,shelv,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
upset,upset,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'VBD'}"
clapped,clap,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,1,{'VBD'}
gingham,gingham,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'JJ', 'NN'}"
elms,elm,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
takin,takin,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'NN', 'FW', 'VBN'}"
debelle,debell,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
freer,freer,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'NN', 'NNP', 'VBN'}"
adore,ador,4,11711,2.692928101512618e-06,18.502392857485294,0,RB,3,"{'VB', 'VBP', 'RB'}"
sittin,sittin,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'JJ', 'NN', 'VBN'}"
raid,raid,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
indicating,indic,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
shaped,shape,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,2,"{'VBD', 'VBN'}"
pins,pin,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
widout,widout,4,11711,2.692928101512618e-06,18.502392857485294,0,IN,1,{'IN'}
schoolboy,schoolboy,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'NN'}"
expeditions,expedit,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
contraband,contraband,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
obtrude,obtrud,4,11711,2.692928101512618e-06,18.502392857485294,0,VB,1,{'VB'}
unloading,unload,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
halfhour,halfhour,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'JJ', 'NN'}"
lausanne,lausann,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
campground,campground,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
improper,improp,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'JJR'}"
irksome,irksom,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,2,"{'JJ', 'VBP'}"
furloughmen,furloughmen,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
decatur,decatur,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
housed,hous,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,1,{'VBN'}
exhibitors,exhibitor,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
experiments,experi,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
awfully,aw,4,11711,2.692928101512618e-06,18.502392857485294,0,RB,1,{'RB'}
decimal,decim,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
pretences,pretenc,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
appended,append,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,2,"{'VBD', 'VBN'}"
donors,donor,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
elliot,elliot,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
prodigal,prodig,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
artful,art,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
quartette,quartett,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'JJ', 'NN', 'NNP'}"
quartermaster,quartermast,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
satin,satin,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
sedition,sedit,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
imperative,imper,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
subcommittee,subcommitte,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
jasper,jasper,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
schofield,schofield,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
scobell,scobel,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
replies,repli,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,2,"{'NNS', 'VBZ'}"
jealousies,jealousi,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
lieutenantcolonel,lieutenantcolonel,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'JJ', 'NN', 'NNP'}"
squares,squar,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
commentary,commentari,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'JJ', 'NN'}"
rigidly,rigid,4,11711,2.692928101512618e-06,18.502392857485294,0,RB,1,{'RB'}
anxieties,anxieti,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
pierpont,pierpont,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
collars,collar,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,2,"{'NNS', 'NNP'}"
exslaveholder,exslavehold,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
indications,indic,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
listens,listen,4,11711,2.692928101512618e-06,18.502392857485294,0,VBZ,2,"{'VBZ', 'NNS'}"
fisher,fisher,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
essay,essay,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
sensibility,sensibl,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
clothesbag,clothesbag,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
cancelled,cancel,4,11711,2.692928101512618e-06,18.502392857485294,0,VBN,1,{'VBN'}
trivial,trivial,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
calculate,calcul,4,11711,2.692928101512618e-06,18.502392857485294,0,VB,1,{'VB'}
drilling,drill,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'VBG'}"
antwerp,antwerp,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
disqualification,disqualif,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
walnutlumber,walnutlumb,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
guineas,guinea,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
recapture,recaptur,4,11711,2.692928101512618e-06,18.502392857485294,0,VB,1,{'VB'}
tastefully,tast,4,11711,2.692928101512618e-06,18.502392857485294,0,RB,1,{'RB'}
outhouses,outhous,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
excessive,excess,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
superintended,superintend,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,2,"{'VBD', 'VBN'}"
tremendously,tremend,4,11711,2.692928101512618e-06,18.502392857485294,0,RB,1,{'RB'}
rolfe,rolf,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
brock,brock,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
extremities,extrem,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,2,"{'NNS', 'VBZ'}"
impediment,impedi,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
elementary,elementari,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
betraying,betray,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,2,"{'NN', 'VBG'}"
cress,cress,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
murdering,murder,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,2,"{'NN', 'VBG'}"
brussels,brussel,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
woollen,woollen,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'JJ', 'NN', 'NNP'}"
utility,util,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
breathes,breath,4,11711,2.692928101512618e-06,18.502392857485294,0,VBZ,3,"{'VBZ', 'NN', 'NNP'}"
ablebodied,ablebodi,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
secreting,secret,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
stokes,stoke,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
fiftytwo,fiftytwo,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
policing,polic,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'VBG'}"
dorothy,dorothi,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
morton,morton,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
commissary,commissari,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'JJ', 'NN'}"
suspense,suspens,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'VB', 'NN'}"
enlightening,enlighten,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
unmarried,unmarri,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
3d,3d,4,11711,2.692928101512618e-06,18.502392857485294,0,CD,1,{'CD'}
intimating,intim,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,1,{'VBG'}
intrepidity,intrepid,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
ogden,ogden,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
orr,orr,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
repassing,repass,4,11711,2.692928101512618e-06,18.502392857485294,0,VBG,2,"{'NN', 'VBG'}"
herford,herford,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
bassim,bassim,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
1812,1812,4,11711,2.692928101512618e-06,18.502392857485294,0,CD,1,{'CD'}
reaped,reap,4,11711,2.692928101512618e-06,18.502392857485294,0,VBD,2,"{'VBD', 'VBN'}"
snuff,snuff,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
pavilion,pavilion,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
trash,trash,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
muskets,musket,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
blackstone,blackston,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
scrupulously,scrupul,4,11711,2.692928101512618e-06,18.502392857485294,0,RB,1,{'RB'}
chateau,chateau,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,2,"{'NN', 'NNP'}"
milder,milder,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
scarlet,scarlet,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
fore,fore,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,3,"{'IN', 'NN', 'RB'}"
jest,jest,4,11711,2.692928101512618e-06,18.502392857485294,0,JJS,3,"{'NN', 'VB', 'JJS'}"
hendricks,hendrick,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
folds,fold,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
hurl,hurl,4,11711,2.692928101512618e-06,18.502392857485294,0,VB,2,"{'VB', 'NNP'}"
deportation,deport,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
frazier,frazier,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
latimer,latim,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
rainbow,rainbow,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,2,"{'NN', 'NNP'}"
nétervood,nétervood,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
unavoidable,unavoid,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
necks,neck,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
wheelwright,wheelwright,4,11711,2.692928101512618e-06,18.502392857485294,0,NN,1,{'NN'}
rebellious,rebelli,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
hampden,hampden,4,11711,2.692928101512618e-06,18.502392857485294,0,NNP,1,{'NNP'}
shiftless,shiftless,4,11711,2.692928101512618e-06,18.502392857485294,0,JJ,1,{'JJ'}
environments,environ,4,11711,2.692928101512618e-06,18.502392857485294,0,NNS,1,{'NNS'}
